DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
CAJAMARCA;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;379;185;458;3;10;9;3;12
CAJAMARCA;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;3;275;82;9;14;10;19;6
CAJAMARCA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;109;2;117;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;97;86;143;100;94;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;84;42;2;7;6;4;4
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;39;875;359;350;248;345;535;260
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;207;192;230;294;158
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;2683;109;;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;16;4;8;16;8
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;17;124;208;119;113;100;82
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;22;1135;218;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;732;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;13;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;12;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1127;804;34;22;37;46;31
CAJAMARCA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;1;;;;;;;
